,job_title,company,job_description
131,"VP, Cloud Security Engineer, Information Security Services, Technology and Operations",DBS Bank Limited,"[' Evaluate, built, implement and operate security tools for monitoring and securing public clouds (AWS, GCP, Azure) '
 ' Perform risk assessment for business, application and infrastructure use of public cloud '
 ' Participate, perform threat modeling, risk assessment, and recommend information security controls/processes for key projects '
 ' Perform information security due diligence on outsourcing service providers, including conducting site audit of their premise and facilities. '
 ' Explain assessed risk and recommended security controls/processes to key stakeholders including senior management '
 ' Provide guidance and mentoring to less experienced security engineers '
 ' Collaborate with colleagues on information security solutions '
 "" Evaluate, recommend and drive the use of new technologies and processes that will enhance the bank's security strength while balancing user experience and security objectives ""
 "" Respond to information security issues during each stage of a project's lifecycle ""
 ' Working experience developing applications or managing infrastructure services for public cloud such as AWS and GCP '
 ' Programming skills in at least one programming language: Python, Javascript, Java '
 ' Working experience in the information technology domain (computer/mobile application, APIs, container technology such as Dockers, public cloud, data science etc) and preferably in the information security domain '
 ' Experience performing system analysis and design requirements gathering. '
 "" Bachelor's or Master's degree in Computer Science or equivalent ""
 ' Professional certification such as CISSP, GIAC GISP will be an added advantage '
 ' Public cloud certifications ' ' Able to travel on a need to basis '
 ' Possess good technical knowledge in various security tools (end-point, network, authentication etc) '
 ' Good understanding of regulatory requirements (e.g. MAS Technology Risk Management Guidelines, PCI DSS, Personal Data Protection Act) '
 ' Knowledge of tactics, techniques, and procedures associated with malicious insider activity, organized crime/fraud groups and both state and non-state sponsored threat actors. '
 ' Able to perform coding on need-to basis to build or enhance existing security solution ']"
132,Information Technology - Cybersecurity Risk Specialist,SINGAPORE AIRLINES LIMITED,"['Provide consultancy, technical guidance, expertise, solutioning and education on cyber security related framework, best practices, methodology etc'
 'Advise application teams on application security design that is relevant and fit for purpose'
 'Conduct risk assessments, document results, and propose and track remediation tasks.'
 'Routinely assess existing infrastructure, systems, and applications for compliance and vulnerabilities and propose relevant mitigating controls.'
 'Conduct vulnerability assessments and track remediation status of identified vulnerabilities.'
 'Identify and assess cyber risks, and recommend and drive cyber security solution and initiatives to improve cyber security posture.'
 'Maintain awareness and provide security advisory on emerging security threats and vulnerabilities'
 'Assess security aspects of new technologies and define security control requirements.'
 'Degree in IT or related fields, with 4-5 years relevant information security working experience, especially in the application security space'
 'Professional security certifications (CISSP, CISA, CEH etc) preferred.'
 'Familiar with PCI, PDPA, GDPR requirements'
 'Experience in security technologies, practices, application/network/systems architecture and design, tests tools and processes.'
 'Strong in-depth working knowledge in secure application development techniques (design and coding)'
 'Knowledge of cyber security threats, vulnerabilities, hacking and exploit methods etc'
 'Strong oral, written, presentation and inter-personal skills.'
 'Possess positive attitude with drive, initiative, enthusiasm and a keen sense of urgency in resolving high-priority issues.'
 'Able to work independently and in a team-oriented, collaborative environment.']"
133,Regional Marketing Manager Hospital Systems and IT and Data Business,Draeger Singapore Pte Ltd,"['Bachelor’s or master’s degree in Science, Business, Economics or Engineering/ Biomedical Engineering.'
 'Five Years plus of work experience in Marketing or Product Management in a B2B company in the Medical Device'
 'International experience in a comparable field in Sales & Service or Marketing'
 'Business Development attitude & Project Management experience'
 'Know-How & Experience with patient monitoring, hospital information systems and IT project'
 'Strong analytical skills and intercultural'
 'Exceptional communications and interpersonal'
 'Willing to travel extensively within the region for'
 'Excellent verbal, presentation and written communication skills in'
 'Dynamic, motivated and driven person'
 'Design, set up and conduct test of product and system components on compability for defined customer projects and future offerings'
 'Perform sophisticated technical support in the field Implement regional marketing mix strategy for Systems & IT in accordance with the global and regional strategy'
 'Manage the solution process for Networking/IT System by ensuring technical support for wireless networks, telemetry systems, databases and interfaces with devices and HIS, LIS ,PDMS etc systems'
 'Drive the Net Sales and Global Contribution Margin of the Systems & IT and Data Driven Business within the region as well as guiding, coaching and mentoring the country marketing organization'
 'Support the local sales & marketing in the development of the customer area and our improving acute care strategy as part of the ‘go to market’ strategy.'
 'Implement regional marketing mix strategy for Monitoring, IT, Data Driven Business in accordance with the global and regional strategy'
 'Drive the Net Sales and Global Contribution Margin of the IT & Data Driven Business within the region'
 'Provide operational marketing and sales & service support for IT & Data Driven Business'
 'Ensuring regular and valuable AAA regional input into the global product strategy'
 'Facilitate and conduct business relevant expert-webinars and applications- and solution -trainings for customers and internal (on- and offline)'
 'Provide operational marketing and sales & service support for Monitoring, Systems & IT and Data Driven Business.'
 'Responsible in the System Center Monitoring & IT for setting up new IT solutions and test the functionalities, do the technical customer support and test combinations with 3rd party components.']"
134,"Research Assistant, School of Computing",NATIONAL UNIVERSITY OF SINGAPORE,"['Information-theoretic limits of learning problems'
 'Data-driven priors in signal processing and communication'
 'Resource trade-offs in distributed learning algorithms']"
135,"Software Engineer, Computer Vision",Bytedance Pte. Ltd.,"['Develop large scale software systems providing SOTA machine learning technology for products in ByteDance'
 'Optimize the performance of large scale machine learning systems with high throughput and high reliability'
 ""Bachelor's degree in Computer Science, Engineering or equivalent practical experience""
 'Software development experience in one or more general purpose programming languages'
 'Experience working with two or more from the following: web application development, Unix/Linux environments, distributed and parallel systems, networking, storage'
 'Experience in machine learning/deep learning'
 'Experience in a recommendation system or information retrieval system'
 'Experience in developing large scale software systems'
 'Winners of algorithm competitions such as ACM']"
136,Business System Analyst (IT - Logistic) *Up to $6K*,SMART FORTE CONSULTING LLP,"['Bachelor’s degree in computer science, computer engineering , information technology or equivalent.'
 '4 years+ experience in participation of business application development, technical and business analysis.'
 '4 years+ experience in working as system analyst / implementation consultant in logistics supply chain (preferable Warehouse Management System and Transport Management System)'
 'Understanding of the software development life cycle.'
 'Programming: SQL Script, .NET or C# , Java.'
 'Experience with implementing, configuring, and testing solutions.'
 'Facilitation, negotiation and conflict resolution skills and demonstrated success at building teams and relationships with key people in local and remote sites.'
 'Assist in project management and co-ordinate with in-house developer, vendor, customer and business stakeholders to ensure smooth systems implementation.'
 'Conduct requirement studies, detailed systems analysis and design, system testing of new systems and system enhancement.'
 'Take part in SOP/EDI flow discussion with business stakeholders'
 'Translate requirement from business unit to applications (e.g. TMS, WMS, etc).'
 'Prepare requirement specification document and interact with system architects and developers to ensure the project/system is properly implemented.'
 'Conduct impact analysis on application changes.'
 'Analyse and troubleshoot application problem.'
 'Implement system software changes.'
 'Partner with support team members to effectively delivery product changes and the transition of post go live support activities; provides escalated support assistance as required.'
 'Develop and execute plans for testing and training of the new system / feature.'
 'Conduct SIT, UAT with business stakeholders and customers.'
 'Provide training to end users if needed.'
 'Provide technical support/advice to business unit for the application.'
 'Work with customers for new or changed business requirements.'
 'Liaise with other business unit to obtain timely support/advice for the applications.']"
137,Service & Project Engineer (Info-Comm Technologies),Randstad,"['Technical lead for Info-Comm Technologies projects'
 'Product sourcing to meet end users and project requirements'
 'Provide technical support to the project team and customers and assists them in their system integration and implementation works'
 'Degree / Diploma / Higher Nitec in Electrical/Electronics/Communications Engineering or equivalent'
 'Min 5 yaears of experience in Info-Comm Technologies (ICT) product servicing / troubleshooting or system integration works'
 'Project management experience will be a plus'
 'Knowledge in RF communications, video surveillance, digital forensics and other intelligence collection equipment will be an advantage']"
138,"Systems Engineer, Middleware - Managed Services - (21000696)",NEC Asia Pacific Pte Ltd,"['Responsible for the deployment of Web and Enterprise Applications'
 'Provide expertise in troubleshooting and identifying root cause analysis of server and application issues'
 'Deploy application packages and bug fixes to Test/PreProd/Production environments'
 'Involve in projects and support of Middleware systems on distributed platform and open systems'
 'Provide solutions, deploy, configure, troubleshoot and fine tune the Middleware systems'
 'Adhere to change management requirements for implementation of enhancements and change requests'
 'Responsible for the day-to-day operational aspects of Middleware administration to meet the business needs and service levels'
 'Manage Middleware changes through change request process and provide status reports to the relevant parties'
 'Provide 1st and 2nd level operational support of Middleware'
 'Respond promptly to incidents, investigate and deliver temporary or permanent resolutions of incidents escalated, and provide timely status updates to relevant parties'
 'Ensure service levels meet the requirements, propose and implement action plans when required'
 'Responsible for the implementation of service continuity measures, such as backup/restore procedures and disaster recovery plan, to ensure continuity of the business operations'
 'Manage the web servers and Middleware products'
 'Manage the SFTP products, monitor and change scripts to cater for SFTP tasks'
 'Any other ad-hoc duties as required or assigned']"
139,Research Engineer (Computer Science/Information System/Physics) (R00004397),Nanyang Technological University,"['Develop API and test software solutions for protecting big data privacy for industry deployment'
 'Develop API and test software solutions for privacy-preserving big data computation'
 'Develop web applications for online demonstration to potential customers or industry partners'
 ""Master's degree in Computer Science, Information System, Physics, or Mathematics""
 ""Candidates with Bachelor's degree are also welcome to apply""
 'Technical knowledge / skills in data analytic, artificial intelligence, and machine learning is a plus'
 'Proficient in languages such as Python or Java, ML backends such as Tensorflow or PyTorch']"
140,Research Fellow (Quantum Information Science) (R00003546),Nanyang Technological University,"['Perform theoretical research in the field of quantum information science, with a focus on quantum dots and superconducting qubit systems'
 'Research includes quantum noise spectroscopy with Bayesian inference, AI and Machine Learning approaches, and development of theories for modelling, understanding and mitigating noise in solid state qubit systems, with an outlook on experimental implementations in the laboratory'
 'PhD in Quantum Information Science'
 'Possess skills and knowledge relevant to theoretical work in this field'
 'Have published in high impact journals'
 'An excellent communicator, mentor and team player']"
141,Principal SIEM Consultant,Securonix Singapore Pte. Ltd.,"['Lead end to end SIEM implementation or integrations in a customer environment.'
 'Understand customer business requirements and the threat landscape applicable to their industry’s vertical sector to develop tailored success criteria'
 'Analyze complex customer networks and develop deployment architecture.'
 'Coordinate with service delivery managers, management, engineering, maintenance, and operational support teams'
 'Develop content, use cases, data models, dashboards, and connectors to support custom user requirements.'
 'Engage with customers, internal product development teams to gather user requirements and suggest new product features and help improve existing product features.'
 'Training and enabling customers and partners for successful adoption.'
 '8-10 years of experience in the information security field.'
 'Strong understanding of SIEM and UEBA solutions such as Splunk, Logrhythm and Exabeam.'
 'Working knowledge of cloud technologies such as Amazon, Azure and Google'
 'Good understanding of Hadoop ecosystem and Apache technologies.'
 'Good understanding of MITRE ATT&CK matrices, kill chains and other attack models.'
 'Ability to communicate effectively with all levels of an organization from Engineering/Operations to CIO/CISO audiences'
 'Strong knowledge of scripting languages such as Python, Powershell.'
 'Industry certifications such as CISSP, CISM'
 'BS in Computer Science, Information Systems, CyberSecurity'
 '4-5 years of experience in SIEM/UEBA deployment'
 'Working knowledge of Machine learning in cybersecurity'
 'Good understanding of log collection methodologies and aggregation techniques such as Syslog-NG, Nxlog, Windows Event Forwarding'
 'Experience integrating endpoint security and host based intrusion detection solutions'
 'Experience with network forensics and toolsets such as Wireshark, PCAP, tcpdump']"
142,MIDDLE OFFICE ANALYST,HRT SG PTE. LTD.,[]
143,Regional Marketing Manager Hospital Systems and IT and Data Business,Draeger Singapore Pte Ltd,"['Bachelor’s or master’s degree in Science, Business, Economics or Engineering/ Biomedical Engineering.'
 'Five Years plus of work experience in Marketing or Product Management in a B2B company in the Medical Device'
 'International experience in a comparable field in Sales & Service or Marketing'
 'Business Development attitude & Project Management experience'
 'Know-How & Experience with patient monitoring, hospital information systems and IT project'
 'Strong analytical skills and intercultural'
 'Exceptional communications and interpersonal'
 'Willing to travel extensively within the region for'
 'Excellent verbal, presentation and written communication skills in'
 'Dynamic, motivated and driven person'
 'Design, set up and conduct test of product and system components on compability for defined customer projects and future offerings'
 'Perform sophisticated technical support in the field Implement regional marketing mix strategy for Systems & IT in accordance with the global and regional strategy'
 'Manage the solution process for Networking/IT System by ensuring technical support for wireless networks, telemetry systems, databases and interfaces with devices and HIS, LIS ,PDMS etc systems'
 'Drive the Net Sales and Global Contribution Margin of the Systems & IT and Data Driven Business within the region as well as guiding, coaching and mentoring the country marketing organization'
 'Support the local sales & marketing in the development of the customer area and our improving acute care strategy as part of the ‘go to market’ strategy.'
 'Implement regional marketing mix strategy for Monitoring, IT, Data Driven Business in accordance with the global and regional strategy'
 'Drive the Net Sales and Global Contribution Margin of the IT & Data Driven Business within the region'
 'Provide operational marketing and sales & service support for IT & Data Driven Business'
 'Ensuring regular and valuable AAA regional input into the global product strategy'
 'Facilitate and conduct business relevant expert-webinars and applications- and solution -trainings for customers and internal (on- and offline)'
 'Provide operational marketing and sales & service support for Monitoring, Systems & IT and Data Driven Business.'
 'Responsible in the System Center Monitoring & IT for setting up new IT solutions and test the functionalities, do the technical customer support and test combinations with 3rd party components.']"
144,Business Analyst,Canopy Pte. Ltd.,"['Act as a liaison between departmental end-users and technology teams in the analysis, design, configuration, and testing to ensure optimal operational performance'
 'Evaluate business processes, anticipate requirements, uncover areas for improvement, and develop and implement solutions'
 'Design logical data models based on business requirements in order to determine the completeness of the information and process components'
 'Stay up-to-date on the latest process and IT advancements to automate and modernize systems'
 'Effectively communicate your insights and plans to cross-functional team members and management'
 'Track and fully document changes for functional and business specifications; write detailed universally understood documents for permanent records and for use in training.'
 'Manage competing resources and priorities'
 'Monitor deliverables and ensure timely completion of projects'
 'Create and execute test plans and coordinate both System Integration Testing and User Acceptance Test'
 'Identify obstacles, proactively mitigate risks and escalate issues effectively'
 'Support in the Business-As-Usual activities and ensure that users requirements and requests are delivered timely, accurately and successfully'
 'Provide appropriate post implementation support; provide assistance in training, mentoring, and coaching departmental end-users'
 'A degree in Finance, Business Analytics, Computer Science, Statistics or related fields'
 'At least 2 year experience as a Business Analyst working with data products'
 'Good knowledge on financial products and market data'
 'Passion for problem-solving, improving and/or implementing processes'
 'Excellent interpersonal skills, with the ability to communicate complex data issues correctly and clearly to both internal and external customers'
 'Strong problem solving, quantitative and analytical abilities.'
 'A team player with the willingness to be involved beyond the formal job remit'
 'Experience with analytics tools such as SQL, Excel, Tableau, Python are highly advantageous']"
145,"Systems Engineer, Storage - Managed Services - (21000698)",NEC Asia Pacific Pte Ltd,"['IBM V3700 and V7000' 'StorEdge storage' 'HP Storage Work'
 'IBM and StorageTek tape libraries' 'HP Data Protector' 'Veeam'
 'Netbackup'
 'Responsible for installation, administration and maintenance support for Storage Area Network and Enterprise Backup'
 'Conduct health check and monitoring of the storage devices'
 ""Integrate the storage solution's hardware and software into the customer's operating environment and ensure full interoperability""
 'Update regularly on the firmware'
 'Ensure comprehensive documentation of the storage solution is in place'
 'Prepare test plan in consultation with the customer to ensure the solution is functioning fully'
 'Responsible for administration and management of Symantec backup environment'
 'Conduct backup job configuration and scheduling'
 'Conduct backup server performance tuning and troubleshoot backup related issues'
 'Involve in capacity planning for tape libraries and backup servers'
 'Perform Disaster Recovery (DR) for all the critical systems and ensure successful rebuilt of Production or DR servers should the need arises '
 'Any other ad-hoc duties as required or assigned']"
146,Data Manager,Connexus Global Pte Ltd,[]
147,"Systems Engineer [IT Applications, $4000 - $7000] FC",Search Index Pte Ltd,"['Provides technical support for application related issues and performs daily systems monitoring, system maintenance, system accesses, backups, patching and daily health checks'
 'Maintain service operations documentation and guides including developing supporting documentation for all Service Operation activities'
 'Monitor Service level dashboards including system capacity review and allocation of adequate capacity'
 'Assist in investigating user reported issues and develop mitigating/preventive solutions'
 'Assist in application verifications including post patching activities'
 'Assist in the coordination of testing with internal and external interface systems'
 'Ability to be on standby support where required'
 'Degree in Engineering (Computer / Telecommunication), Computer Science or Information Technology or equivalent'
 'Possess Application Support experience in MS Windows environment'
 'Working experience in helpdesk support or call center environment is preferred'
 'Good working knowledge on service desk ticketing system, telephony system, email, online chat, service support process, and SLA'
 'ITIL Certifications and experience in SAP Applications/Modules are good to have.']"
148,Software Engineer (102),IT CONSULTANCY & SERVICES PTE LTD,"['To develop software based on design requirements'
 'Involved in full SDLC, gathering of requirements, design, coding, support and testings'
 'Diploma or Degree in Computer Science, Information Technology, Management of Information Systems or equivalent'
 'Familiar knowledgeable with Software programming (Java or .Net) and full SDLC']"
149,"System Delivery Engineer (Network Infrastructure, CyberSecurity, IT Delivery)",GMP Technologies - IT,"['Own the IT tasks involved in the preparation and implementation of new infrastructure and other prerequisite phases'
 'Manage site IT Risk, Change, & Compliance tasks during project deployment'
 'Work with Site Tech Manager, Site Tech Developer, and the Business Unit Sponsor to develop a deep understanding of the business cases for change, then drive the approval of projects through site and Tech governance processes'
 'Ensure that appropriate support resources, processes and procedures are in place - secure shared service and/or 3rd party resources if required – as part of deployments'
 'Provide appropriate knowledge transfer to Site Tech Manager as delivery phase approaches completion'
 'Oversee the project management processes and procedures for projects'
 'Responsible for overseeing IT Delivery spanning all business groups and IT systems in operation at the site represented.'
 'Responsible for the compliant introduction of documentation, polices, and procedures related to delivery of a new or replacement IT service'
 'Ensuring local procedures impacted by IT Delivery are updated / made obsolete (as applicable)'
 'Responsible for project Change Control and Incident Management' '\n'
 '\n' 'Experience in ' 'Singaporeans Preferred'
 '12-months Contract Employment' '1 month Completion Bonus']"
150,"Infrastructure Engineer, Systems (Secured Infrastructure Programme Office)",Government Technology Agency of Singapore (GovTech),"['Lead system integration efforts to ensure the entire system is built in an efficient and robust manner towards a high level of maintainability, reliability and availability.'
 'Provide expertise support in the area of systems as a member of the infrastructure team to architect, design, evaluate, and deploy the entire infrastructure that covers messaging and collaboration technologies, virtualisation, security, software distribution, network and remote client access from distributed sites.'
 'Support critical decision making on system design and hardware/software investments in line with the budget and develop justification papers.'
 'Articulate and manage requirements in support of tendering process.'
 'Manage vendors in deploying the systems.'
 'Support systems to ensure high degree of maintainability that is balanced with stringent security requirements.'
 'Lead in technology explorations and validation of systems components through proof-of-concepts.'
 'Optimize system performance and availability in operational systems.'
 'Drive IT productivity and improved efficiency through automation/scripting.'
 ""Support operationalization effort like institutionalizing operational processes, best practices and job specifications for the 24 x 7 operators' daily routines to ensure systems function well.""
 'Be part of Tier 2/3 engineering support resource.'
 'Perform problem management and incident correlation on re-occurring issues; suggest and document workarounds and solutions.'
 'Collaborate with other members of the team on design and troubleshooting issues.'
 'Perform diagnosis, troubleshoot, and conduct root-cause analysis for any issues escalated on the system platforms.'
 'Be on call to act as a final level of escalation before resorting to vendor support.'
 'Provide critical support on complex technical problems on a 24 x 7 standby basis.'
 'Degree in Computer Science, Computer or Electronics Engineering or Information Technology or related disciplines.'
 'Minimum 5 years of relevant IT experience in designing, deploying and managing complex IT infrastructure systems and services.'
 'Experience in planning, design, deploy and operate systems technologies for complex infrastructures, and project, contract and vendor management.'
 'Strong fundamental knowledge and technical hands-on experience in information technology infrastructure architecture, including data centres, server virtualization, hyperconverged infrastructure, system monitoring, backup and SIEM systems.'
 'Serve as a Subject Matter Expert (SME) in one or more of the following areas:'
 'Experience in managing enterprise monitoring tools such as BMC TrueSight Operation Management (TSOM), Microsoft System Center Operations Manager (SCOM), CA, Riverbed or NetScout. Experience in tuning capacity and fault alerts within TSOM, SCOM, CA, Riverbed or NetScout, able to provide guidance relating to meaningful and appropriate thresholds.'
 'Experience in managing enterprise backup software such as Veritas NetBackup, Commvault or Networker. Experience in implementing, configuration, administration and supporting of enterprise backup software, and providing resolution/troubleshooting of backup/recovery service disruptions and implementation of preventive measures.'
 'Experience in installation, configuration and administration of operating systems and services on Windows and Linux server systems. Demonstrated experience in implementing and supporting large-scale Windows systems, configuring networking and security, and applying system patches, fixes, etc.'
 'Experience in automating tasks with scripting and programming languages such as PowerShell.'
 'Experience in in designing, building and maintaining high availability virtualised environments. Possessed updated Virtualisations Certifications and demonstrated experience in virtualisation, consolidation of server technologies and hyperconverged infrastructure, specifically VMware vSphere and Nutanix Infrastructure.'
 'Experience in implementing, administration and supporting of SIEM systems such as HP ArcSight, LogRhythm or SPLUNK. Understanding of application and system logging of security events.'
 'Experience in implementing, administration and supporting of Business Intelligence Tool (BIT) such as QLIK, Tableau or Power BI and able to provide guidance on analysing the data with stakeholders.'
 'Pro-active, dynamic and with good analytical/conceptual thinking.'
 'Excellent written and verbal communication and ability to influence and communicate effectively with non-technical audience and senior management.'
 'Strong interpersonal skills, customer orientation, team interaction/effectiveness, proactive, analytical and decision making skills.'
 'Singapore Citizens only']"
151,Research Engineer (Ref: IRG_DiSTAP_2021_006),SINGAPORE-MIT ALLIANCE FOR RESEARCH AND TECHNOLOGY CENTRE,"['Design and develop leaf clip interface.'
 'Perform Raman spectra processing and interpretation.'
 'Perform optical alignment of Raman systems.'
 'Collaborate with nanosensor, biomaterial and AI technology groups at DiSTAP.'
 'Bachelor degree in Physics/Chemistry/Engineering or relevant areas.'
 'Highly motivated candidates with experience in working with 3D printers.'
 'Candidates with additional experience in the application of optics to biology, Raman spectroscopy and chemometrics will be preferred.'
 'Ability to collaborate, work in teams and interact with industrial and academic collaborators.'
 'Good command of written and spoken English.']"
152,Senior / System Analyst (Online Systems),WILDLIFE RESERVES SINGAPORE,[]
153,Research Fellow (Computer Science/Mathematics/Information Theory) R00005817,Nanyang Technological University,"['Responsible for research and development of privacy-preserving techniques including but not limited to the field of Fully Homomorphic Encryption (FHE), Multi-Party Computation (MPC), Searchable Encryptions (SE), and Differential Privacy (DP)'
 'Involve in privacy-preserving system implementation work'
 'Prepare reports and scientific papers'
 'Ph.D. degree in computer science, mathematics, information theory or relevant field'
 'Familiar with at least one of the following programming languages: C/C++, Python, Java'
 'Proven publication record in top security / cryptography conferences and journals'
 'Self-motivated individual with good communication skills and able to deliver under tight timeline']"
154,"Lead IT Consultant, Communications and Information Technology",Singapore Institute of Technology,"['Leads and manages key IT projects & initiatives'
 'Oversee IT Operations & Support related to Industry Information Systems'
 'Manage project delivery to meet project scope, schedule and cost expectations and goals'
 'Identify, assess, and manage project risks'
 'Manages internal resources, third parties or vendors for the successful execution of projects'
 'Ensure that all projects are delivered on-time, within scope and within budget'
 'Plan and conduct IT Planning & Budgeting in conjunction with ICG & PG Divisions'
 'Manages vendors, outsourcing contracts and Industry Information System projects'
 'Coaches, trains and manages the Industry Information System team'
 'Hold regular status update meetings with the team'
 'Degree in Computer Science or its equivalent'
 'At least 10 years in application development experience with at least 3 years in leadership and management of IT application projects and initiatives'
 'Good management skills particularly in project management, change management and vendor management'
 'Strong interpersonal communication skills and able to work with all levels of business users'
 'Experience in enterprise project management and application lifecycle management'
 'Strong organizational skills with the ability to prioritize and able to multitask'
 'Excellent oral and written communication and interpersonal skills']"
155,System and Network Engineer,SAFRA National Service Association,[]
156,IT System Engineer,CONNECTe International Pte Ltd,"['Performs investigation, diagnostics testing, repair and troubleshooting'
 'Design new solutions based on standards'
 'Implementation of new network environments'
 'Deliver support in several projects'
 'Document deployed solutions and proper handover to the operational team'
 'Maintain and upgrade network components'
 'Deploy firewall rules if required'
 'Assist the operational team by delivering 2nd/3rd line support'
 'Work proactively to increase the service quality'
 'Coordination with peers in other regions (EMEA, AMER, and APAC)'
 'Degree or Diploma in Information Technology related studies'
 'Minimum 3 years of relevant working experience'
 'Possess certification of CCNA / CCNP is an advantage'
 'Great team player, highly adaptable and with a good sense of urgency'
 'Strong technical, analytical and organizational skills'
 'Excellent written & spoken communication and interpersonal skills'
 'Willingness to travel overseas for work'
 'Hyperconverged server solutions' 'Nutanix AHV & Vmware ESXi'
 'Microsoft Windows Server Operating System'
 'Microsoft Azure public cloud' 'Microsoft Exchange on premise & O365'
 'Microsoft Active Directory / Azure AD' 'Microsoft SQL'
 'Citrix XenApp & Citrix netscaler' 'Rubrik backup' 'Infoblox DDI'
 'Solarwind System' 'Load balancing (F5)']"
157,System Engineer,Xjera Labs Pte Ltd,"['System hardware assembling, testing and tuning.'
 'Development of computer control and communication software to operate devices and sensors.'
 'A degree or Diploma in relevant engineering disciplines, including but not limited to: electrical/electronic engineering, mechanical engineering, mechatronics, computer science/engineering, and information engineering.'
 'Specialization in automation/ mechanical/ computer control/ electro-mechanical with relevant industrial experience.'
 'Relevant experience in developing, assembling and operating automation devices, system components made up of electrical, mechanical and pneumatic parts.'
 'Programming experience in C# or C++, or Python, for sensor or digital IO communication and control, data acquisition.'
 'Programming and Deployment of programmable logic controllers.'
 'Familiar with RS 232/485 serial communications, and Modbus TCP/IP communications, servo and stepping motor control.']"
158,"Assistant Systems Engineer (No Exp OK, Infra Security) JH",Search Index Pte Ltd,"['Carry out scoping activities to identify what components of a given system require penetration testing'
 'Define test requirements and criteria'
 'Translate requirements into test plans, scenarios, scripts, or procedures'
 'Conduct vulnerability assessment and penetration testing, including black box, code reviews, and reverse engineering'
 'Perform physical security assessments of infrastructure components and computer systems'
 'Develop reports related to security penetration testing results based on established guidelines'
 'Propose strategies and techniques to mitigate identified risks'
 'Communicate vulnerability risks to relevant stakeholders through briefings and reports'
 'Professional certificate/ NITEC/ Diploma in Computer science/ Information Technology'
 'Equipped with programming skills such as SAP, ABAP, .NET, Python, Ruby, JAVA or Regular expression'
 'Experienced with SAP, ABAP or .Net will be an added advantage.']"
159,System Administrator,WEB SYNERGIES (S) PTE LTD,"['Perform system administration and maintenance in a heterogeneous environment (production, DR, test) comprising of Oracle servers and Wintel-based servers \uf0a7'
 ' Perform system upgrade and enhancement on IT infrastructure components \uf0a7 Implement operating system and product-specific security hardening & patches \uf0a7 Monitor obsolescence of IT infrastructure components (systems) \uf0a7 '
 'Monitor expiry and perform renewal of system password and certificates '
 '\uf0a7 Ensure implementation of system backups to ensure data recoverability and business continuity \uf0a7 '
 'Execute disaster recovery plans for IT infrastructure (systems) and conduct regular disaster recovery testing and component switchover exercises to ensure usability of standby and DR equipment \uf0a7'
 ' Manages the application User Acceptance Test (UAT) and upkeep the use of UAT environment'
 'Oracle Certified Systems Administrator certification (Optional) \uf0b7 '
 'RHEL Certified Systems Administrator certification (Optional) Experience and Technical Skills Set \uf0b7'
 ' Minimum 2 years’ experience in system administration and support on Unix and/or RHEL \uf0b7 '
 'Experience in performing OS hardening and patching for Unix and/or RHEL \uf0b7 '
 'Experience in VMWare technologies \uf0b7 '
 'Proficiency in scripting for Unix and/or RHEL environment to automate tasks (Python and YAML scripting optional) \uf0b7'
 ' Experience in middleware (eg. IBM MQ, IBM Connect Direct, JBoss Web Server) (Optional) \uf0b7 '
 'Experience in management and automation software (Satellite, Ansible) (Optional) Attributes \uf0b7'
 ' Good written and verbal communication skills \uf0b7 '
 'Good interpersonal skills and able to work independently as well as in a team \uf0b7 Demonstrate good analytical and problem solving abilities \uf0b7 '
 'Possess customer-orientated mindset \uf0b7 '
 'Possess a sense of initiative \uf0b7 ' 'Able to multi-task \uf0b7'
 ' Familiar with data center operation']"
160,"Senior Executive , Information Technology",Pizza Hut Singapore Pte Ltd,"['Develop innovative solutions to support, enhance and streamline existing restaurant and head office back of house systems, databases, reports and processes. \n'
 'Lead and manage projects in view of improve productivity and efficiency at the low investment cost.\n'
 'Deliver quality service and excellence results at the quickest time.\n'
 'Maintain systems documentation.\n'
 'Candidate must possess at least Diploma/Degree in Computer Science/Information Technology or equivalent.\n'
 '3-5 years of Project Management experience.\n'
 'Knowledge and experience in software development of Dashboard reports, Web Programming such as HTML5, CSS3, .Net framework, XML.\n'
 'Hands-on experience in maintaining ETL, Stored Procedures, MSSQL, SSIS and SSRS.\n'
 'Knowledge and experience with MSSQL databases administration and performance tuning.\n'
 'Knowledge and experience with Business Intelligence systems will be an added advantage.']"
161,"Temporary Admin Assistant, Information Technology",KENTUCKY FRIED CHICKEN MANAGEMENT PTE LTD,[]
